,LeagueId,SeasonId,RoundApiId
0,78,2016,78-2016-1
1,78,2016,78-2016-2
2,78,2016,78-2016-3
3,78,2016,78-2016-4
4,78,2016,78-2016-5
5,78,2016,78-2016-6
6,78,2016,78-2016-7
7,78,2016,78-2016-8
8,78,2016,78-2016-9
9,78,2016,78-2016-10
10,78,2016,78-2016-11
11,78,2016,78-2016-12
12,78,2016,78-2016-13
13,78,2016,78-2016-14
14,78,2016,78-2016-15
15,78,2016,78-2016-16
16,78,2016,78-2016-17
17,78,2016,78-2016-18
18,78,2016,78-2016-19
19,78,2016,78-2016-20
20,78,2016,78-2016-21
21,78,2016,78-2016-22
22,78,2016,78-2016-23
23,78,2016,78-2016-24
24,78,2016,78-2016-25
25,78,2016,78-2016-26
26,78,2016,78-2016-27
27,78,2016,78-2016-28
28,78,2016,78-2016-29
29,78,2016,78-2016-30
30,78,2016,78-2016-31
31,78,2016,78-2016-32
32,78,2016,78-2016-33
33,78,2016,78-2016-34
34,78,2017,78-2017-1
35,78,2017,78-2017-2
36,78,2017,78-2017-3
37,78,2017,78-2017-4
38,78,2017,78-2017-5
39,78,2017,78-2017-6
40,78,2017,78-2017-7
41,78,2017,78-2017-8
42,78,2017,78-2017-9
43,78,2017,78-2017-10
44,78,2017,78-2017-11
45,78,2017,78-2017-12
46,78,2017,78-2017-13
47,78,2017,78-2017-14
48,78,2017,78-2017-15
49,78,2017,78-2017-16
50,78,2017,78-2017-17
51,78,2017,78-2017-18
52,78,2017,78-2017-19
53,78,2017,78-2017-20
54,78,2017,78-2017-21
55,78,2017,78-2017-22
56,78,2017,78-2017-23
57,78,2017,78-2017-24
58,78,2017,78-2017-25
59,78,2017,78-2017-26
60,78,2017,78-2017-27
61,78,2017,78-2017-28
62,78,2017,78-2017-29
63,78,2017,78-2017-30
64,78,2017,78-2017-31
65,78,2017,78-2017-32
66,78,2017,78-2017-33
67,78,2017,78-2017-34
68,78,2018,78-2018-1
69,78,2018,78-2018-2
70,78,2018,78-2018-3
71,78,2018,78-2018-4
72,78,2018,78-2018-5
73,78,2018,78-2018-6
74,78,2018,78-2018-7
75,78,2018,78-2018-8
76,78,2018,78-2018-9
77,78,2018,78-2018-10
78,78,2018,78-2018-11
79,78,2018,78-2018-12
80,78,2018,78-2018-13
81,78,2018,78-2018-14
82,78,2018,78-2018-15
83,78,2018,78-2018-16
84,78,2018,78-2018-17
85,78,2018,78-2018-18
86,78,2018,78-2018-19
87,78,2018,78-2018-20
88,78,2018,78-2018-21
89,78,2018,78-2018-22
90,78,2018,78-2018-23
91,78,2018,78-2018-24
92,78,2018,78-2018-25
93,78,2018,78-2018-26
94,78,2018,78-2018-27
95,78,2018,78-2018-28
96,78,2018,78-2018-29
97,78,2018,78-2018-30
98,78,2018,78-2018-31
99,78,2018,78-2018-32
100,78,2018,78-2018-33
101,78,2018,78-2018-34
102,78,2018,78-2018--1
103,78,2019,78-2019-1
104,78,2019,78-2019-2
105,78,2019,78-2019-3
106,78,2019,78-2019-4
107,78,2019,78-2019-5
108,78,2019,78-2019-6
109,78,2019,78-2019-7
110,78,2019,78-2019-8
111,78,2019,78-2019-9
112,78,2019,78-2019-10
113,78,2019,78-2019-11
114,78,2019,78-2019-12
115,78,2019,78-2019-13
116,78,2019,78-2019-14
117,78,2019,78-2019-15
118,78,2019,78-2019-16
119,78,2019,78-2019-17
120,78,2019,78-2019-18
121,78,2019,78-2019-19
122,78,2019,78-2019-20
123,78,2019,78-2019-21
124,78,2019,78-2019-22
125,78,2019,78-2019-23
126,78,2019,78-2019-24
127,78,2019,78-2019-25
128,78,2019,78-2019-26
